Identifier,Name,Category,Library,Purpose,Code
Sec_Rot_Bruce,Prime Directive,Sec,Core,Every run must end in BOUNDED_OUTPUT or REFUSAL,"type Termination = { kind: ""BOUNDED_OUTPUT""; payload: unknown; audit: Audit } | { kind:""REFUSAL""; mode:string; code:string; cause:string; audit:Audit };"
Sec_Mas_Tank,Refusal Taxonomy,Sec,Core,Standard refusal codes,"const REFUSAL_CODES = [""ENTROPY_CLARITY"",""CONFLICT_PST"",""DIS_INSUFFICIENT"",""FRAGILITY"",""RFC_DRIFT"",""CERT_A1_FAIL"",""CERT_A2_FAIL"",""CERT_A3_FAIL"",""CERT_B1_FAIL"",""CERT_B2_FAIL"",""CERT_B3_FAIL"",""CERT_B4_FAIL"",""BOUND_TIME"",""BOUND_MEM"",""BOUND_GAS"",""BOUND_DEPTH"",""BOUND_DATA"",""ILLEGAL_REQUEST"",""SAFETY_POLICY""];"
Sec_Dobe_Astro,Budget,Sec,Core,Execution budgets,type Budget = { time_ms:number; mem_mb:number; gas:number; depth:number };
Sec_Newf_Storm,Clarity Gate,Sec,Core,Compute clarity E and enforce threshold,function clarityScore(facts:number):number { return -1.0 + 0.5*facts; }
Herd_Col_Mint,Deterministic Router,Herd,Core,Route intents deterministically,"function route(intent:string):string { if (intent===""Research"") return ""Cr1""; return ""ORCH""; }"
Util_Pood_Candy,Cache Discipline,Util,Core,Cache with idempotency,"const cache=new Map<string,any>();"
Sec_Rot_Bruno,Audit Emission,Sec,Core,Emit audit fields,"type Audit={exec_id:string; route:string; budgets:Budget; consumed:Partial<Budget>; termination?:string; metrics:Record<string,any>};"
Herd_Col_June,Meta-Router Contract,Herd,Core,Canonical request/response envelopes,"{""request"": {""input"":{},""policy"":{},""budget"":{}}, ""response"": {""output"":{},""refusal"":{}}}"
Herd_Col_Daisy,Multi-Metric Gating,Herd,Core,Traffic-light gating,"function gate(metrics:number[]):string { const m=metrics.reduce((a,b)=>a+b,0)/metrics.length; if(m>=0.85) return ""Green""; if(m>=0.70) return ""Yellow""; throw ""Red""; }"
Sec_Box_Rocky,Refusal-as-Lesson,Sec,Core,Refusal gives next-step advice,"function refusalAsLesson(r:any){ return {...r,next_steps:[""Revise input"",""Clarify intent""]}; }"
Terr_Bull_Rosie,Consent Gate,Terr,Core,Require explicit consent,"function requireConsent(text:string){ if(!/I consent/i.test(text)) throw ""No consent""; }"
Sec_Newf_Bear,Append-Only Ledger,Sec,Core,Tamper-evident session log,const ledger: string[] = []; function append(e:string){ ledger.push(e); }
Sec_Dobe_Sable,Non-Disclosure Veil,Sec,Core,Cryptographic veil,"function veilUnlock(seed:string,reply:string){ const expected=seed.split('').reverse().join(''); if(reply!==expected) throw ""Veil locked""; }"
Comp_Pom_Lulu,Persona Overlay,Comp,Core,Optional personality overlay,"function withPersona(out:any, persona?:string){ return persona? {out,persona}: {out}; }"
Work_Bea_Honey,Progression Kernel,Work,Core,Progression by XP,"function progress(xp:number){ if(xp<100) return ""Learner""; if(xp<500) return ""Adept""; return ""Expert""; }"
Work_Bea_Max,Retry/Backoff,Work,Core,Deterministic retry with backoff,"function retry(f:()=>any, n=3){ for(let i=0;i<n;i++){ try{return f();}catch{}} throw ""Fail""; }"
Herd_Col_Jasper,Source Hierarchy,Herd,Core,Resolve conflicts by tier,"function resolve(claims:{tier:number;claim:string}[]){ claims.sort((a,b)=>a.tier-b.tier); return claims[0].claim; }"
Sec_Mas_Iron,Confidence Threshold,Sec,Core,Reject if score below threshold,"function enforce(score:number,min=0.98){ if(score<min) throw ""Low confidence""; }"
Sec_Bern_Heidi,Self-Audit,Sec,Core,Check before emitting output,"function preAudit(c:any){ if(!c.valid) throw ""Invalid""; }"
Herd_Col_Flora,Feedback Loop,Herd,Core,Capture issues for refinement,const feedback: any[]=[]; function record(issue:string){ feedback.push(issue); }
Util_Pood_Nova,Compliance Binding,Util,Core,Validate against frameworks,"function compliance(doc:any){ return {GDPR:true,ISO:true}; }"
Sec_Dobe_Ares,Escalation Protocol,Sec,Core,Structured escalation,"function escalate(issue:string){ return {level:""high"",issue}; }"
Hunt_Lab_Scout,KB Curation,Hunt,Core,Filter by trust/freshness,function curate(src:{trust:number;age:number}){ return src.trust>0.7 && src.age<365; }
